"NA_L3CODE","Human","Lightning","diff_windspeed","NA_L3NAME"
"10.1.2",3.38241292258074,3.37970212250664,0.00271080007409896,"Columbia Plateau"
"10.1.3",3.45219814782294,3.17273454122217,0.279463606600772,"Northern Basin and Range"
"10.1.4",3.34349394977319,3.12737893977485,0.216115009998338,"Wyoming Basin"
"10.1.5",3.26512774581073,3.24788307829679,0.0172446675139368,"Central Basin and Range"
"10.1.6",3.30812409732703,3.22652450074757,0.0815995965794611,"Colorado Plateaus"
"10.1.7",3.94207353250858,3.55364052908257,0.388433003426006,"Arizona/New Mexico Plateau"
"10.1.8",3.14154058905147,3.02356389712394,0.117976691927537,"Snake River Plain"
"10.2.1",3.84972186896169,3.78258665318279,0.0671352157789009,"Mojave Basin and Range"
"10.2.2",3.25364605573353,3.4046529072053,-0.15100685147177,"Sonoran Desert"
"10.2.4",3.93989989884832,3.7822247969175,0.157675101930822,"Chihuahuan Desert"
"11.1.1",3.19987239359552,3.11452390322464,0.0853484903708805,"California Coastal Sage, Chaparral, and Oak Woodlands"
"11.1.2",3.34780278223125,3.4553365955914,-0.107533813360146,"Central California Valley"
"11.1.3",3.16506363505054,3.10362864835934,0.0614349866912032,"Southern and Baja California Pine-Oak Mountains"
"12.1.1",4.08463944836855,3.71582583481796,0.36881361355059,"Madrean Archipelago"
"13.1.1",4.45611310162479,3.74070561577964,0.715407485845146,"Arizona/New Mexico Mountains"
"15.4.1",3.6095979282767,2.9378850737418,0.671712854534898,"Southern Florida Coastal Plain"
"5.2.1",4.73335948522982,4.34119322912357,0.392166256106253,"Northern Lakes and Forests"
"5.2.2",4.50268079433691,4.31198803133711,0.190692762999793,"Northern Minnesota Wetlands"
"5.3.1",4.43638905132677,3.92407194176713,0.512317109559645,"Northern Appalachian and Atlantic Maritime Highlands"
"5.3.3",4.65231957880879,4.07517544791499,0.577144130893801,"North Central Appalachians"
"6.2.10",4.05361157601854,3.65230341474633,0.401308161272205,"Middle Rockies"
"6.2.11",3.87753709458265,3.3702161900431,0.507320904539552,"Klamath Mountains"
"6.2.12",3.1452060151243,3.02016049060139,0.125045524522902,"Sierra Nevada"
"6.2.13",3.39316056124128,3.3949817990805,-0.0018212378392275,"Wasatch and Uinta Mountains"
"6.2.14",4.25535414879761,3.50650802902763,0.748846119769981,"Southern Rockies"
"6.2.15",3.53565929513791,3.24125611775887,0.294403177379042,"Idaho Batholith"
"6.2.3",3.45954106424959,3.26648933934199,0.193051724907598,"Columbia Mountains/Northern Rockies"
"6.2.4",4.51800037018157,4.14589043625514,0.37210993392643,"Canadian Rockies"
"6.2.5",3.28963611959246,3.18706104989182,0.102575069700636,"North Cascades"
"6.2.7",3.47876699182895,3.24812912229759,0.230637869531363,"Cascades"
"6.2.8",3.48925620799133,3.22167495123155,0.267581256759777,"Eastern Cascades Slopes and Foothills"
"6.2.9",3.44187904723117,3.14030292912429,0.301576118106887,"Blue Mountains"
"7.1.7",3.0484943550214,2.70623915456903,0.342255200452367,"Strait of Georgia/Puget Lowland"
"7.1.8",4.48831214166055,4.49404535160535,-0.00573320994479776,"Coast Range"
